2464-11-02-20-38-13.566218
BS, S:53965,
0.83, 7.04
1.78, 7.05
6.02, 7.29
11.79, 7.93
18.51, 8.90
25.14, 9.92
28.84, 10.91
31.09, 11.85
32.64, 12.68
33.79, 13.34
30.78, 13.73
32.02, 13.98
31.12, 14.24
31.19, 14.56
29.96, 14.85
29.02, 14.93
27.84, 15.19
29.34, 15.14
28.36, 15.30
27.69, 15.32
27.56, 15.38
27.32, 15.43
27.27, 15.42
28.57, 15.54
27.26, 15.75
26.71, 15.76
26.37, 15.77
25.88, 15.86
26.31, 16.01
25.84, 15.95
24.55, 15.95
24.98, 16.02
24.86, 16.03
23.76, 16.04
23.29, 16.04
23.95, 16.10
21.92, 16.14
22.92, 16.11
21.59, 16.05
22.27, 16.04
22.37, 16.11
22.09, 16.11
21.95, 16.03
21.94, 16.02
23.19, 16.08
23.57, 16.01
22.95, 16.16
22.14, 16.26
21.80, 16.27
20.12, 16.22
20.38, 16.28
18.98, 16.21
18.60, 16.20
18.72, 16.28
17.61, 16.22
17.34, 16.29
18.07, 16.21
17.74, 16.19
16.23, 16.27
17.43, 16.12
16.80, 16.17
17.14, 16.17
16.29, 16.18
16.35, 16.25
15.55, 16.09
15.93, 16.16
15.34, 16.09
14.56, 16.10
14.29, 16.11
14.08, 16.21
14.15, 16.27
13.34, 16.21
12.85, 16.11
13.17, 16.16
12.79, 16.18
12.24, 16.11
11.80, 16.10
12.84, 16.08
11.94, 16.03
13.26, 15.91
13.61, 15.99
13.93, 16.11
14.12, 16.11
12.32, 16.27
12.32, 16.21
10.91, 16.25
10.18, 16.32
9.48, 16.25
9.48, 16.31
-14.68, 16.19
-31.72, 14.83
-32.69, 12.63
-29.00, 11.02
-27.53, 10.59
-27.02, 10.35
-26.09, 10.30
-25.36, 10.29
-25.14, 10.34
-25.67, 10.16
-24.07, 10.01
-23.88, 9.98
-22.82, 9.94
-22.32, 9.92
-23.21, 9.87
-21.98, 9.83
-22.54, 9.77
-21.35, 9.81
-21.27, 9.72
-19.79, 9.75
-19.43, 9.66
-18.52, 9.55
-18.49, 9.55
-17.73, 9.52
-16.75, 9.57
-17.32, 9.67
-16.68, 9.57
-17.74, 9.60
-16.41, 9.56
-16.70, 9.57
-15.85, 9.46
-16.27, 9.40
-15.31, 9.36
-14.93, 9.35
-14.29, 9.33
-13.22, 9.38
-14.27, 9.41
-13.04, 9.38
-14.12, 9.41
-12.75, 9.29
-12.55, 9.28
-12.18, 9.27
-12.27, 9.27
-11.74, 9.26
-12.09, 9.27
-11.57, 9.25
-10.62, 9.22
-11.48, 9.25
-10.05, 9.21
-10.13, 9.30
-9.74, 9.22
-9.44, 9.28
-9.57, 9.28
-9.60, 9.28
-9.74, 9.29
